UID,Model_ID,Question_ID,Reviewer,Agree/Disagree,Agent_Eval_Hallucination,Human_Eval_Hallucination,Agent_Eval_Hallucination_Location,Human_Eval_Hallucination_Location,Agent_Eval_Hallucination_Type,Agent_Eval_Hallucination_Type_Clean,Human_Eval_Hallucination_Type,Human_Eval_Hallucination_Type_Clean,Comments
Model_12_Q_611,Model_12,Q_611,IBM,agree,True,True,"Task 2, Response","Task 2, Response",factual,factual,factual,factual,
Model_7_Q_515,Model_7,Q_515,IBM,disagree,False,True,,"Task 2 action and respone, Task 5",,,,,"Task 2 question does not make sense, "
Model_16_Q_511,Model_16,Q_511,IBM,agree,True,True,"Task 2, Action",Task 2 action and respone,procedural,procedural,"procedural, logical","logical, procedural",Task 2 start using current date for calculating next week instead of given date
Model_7_Q_605,Model_7,Q_605,IBM,agree,False,False,,,,,,,
Model_6_Q_621,Model_6,Q_621,IBM,agree,True,True,"Task 1, Thought","Task 1, Thought",scope,scope,scope,scope,The agent is asked about Chiller tonnage but retrieves data for Chiller 4
Model_12_Q_620,Model_12,Q_620,IBM,disagree,True,True,"Task 2, Response",Task 7,factual,factual,procedural,procedural,Task 7 trying to get sensor list without accessing it from Task 4
Model_19_Q_504,Model_19,Q_504,IBM,agree,True,True,"Task 5, Action","Task 5, Action",procedural,procedural,procedural,procedural,
Model_12_Q_501,Model_12,Q_501,IBM,disagree,True,True,"Task 7, Final Response","Task 5, Task 6, Task 7","scope, procedural","procedural, scope","scope, procedural","procedural, scope","Task 5 check for recommendation for a work order if necessary which is not required to original ask, Task 6: retrieve the preventive work order details, which is not asked"
Model_17_Q_504,Model_17,Q_504,IBM,disagree,True,True,"Task 7, Action",Task 1,procedural,procedural,scope,scope,Task 1 uses a wrong date range
Model_7_Q_516,Model_7,Q_516,IBM,disagree,True,True,"Task 2, Action; Task 3, Action; Task 4, Action","Task 1 Action, Task 2, Action; Task 3, Action; Task 4, Action","procedural, logical","logical, procedural","procedural, logical","logical, procedural",Task 1 uses wrong date range
Model_16_Q_512,Model_16,Q_512,IBM,agree,True,True,"Task 3 and Task 4, Thought and Action","Task 3 and Task 4, Thought and Action","procedural, scope","procedural, scope","procedural, scope","procedural, scope",Task 4 wrongly uses WorkOrder Agent to detect anomalies 
Model_6_Q_619,Model_6,Q_619,IBM,agree,False,False,,,,,,,
Model_12_Q_618,Model_12,Q_618,IBM,disagree,True,True,"Task 6 and Task 8, Action","Task 5, Task 6, Task 7, Task 8","procedural, scope","procedural, scope","procedural, scope, logical","logical, procedural, scope","Task 5 uses Time Series Analytics and Forecasting to get the list of AI last, Task 6 tries to create work order which is not part of original instruction"
Model_6_Q_613,Model_6,Q_613,IBM,disagree,False,True,,"Task 5, Task 6",logical scope,"logical, scope","Task 5 trying to create work order which is not required , Task 6 provides the output even though previous last failed - not sure where those results are obtained",,
Model_19_Q_617,Model_19,Q_617,IBM,agree,True,True,"Task 4 and Task 6, Action and Response","Task 4 and Task 6, Action and Response","procedural, scope","procedural, scope","procedural, scope","procedural, scope",
Model_17_Q_617,Model_17,Q_617,IBM,agree,True,True,"Task 8, Response","Task 8, Response",scope,scope,scope,scope,The agent's response is a repetition of a previous answer (Task 1) without any new context or reasoning
Model_12_Q_612,Model_12,Q_612,IBM,disagree,False,True,,Task 4 & Task 5,,,procedural,procedural,Task 4 and 5 are repeat of task 1 and task 2
Model_6_Q_503,Model_6,Q_503,IBM,agree,True,True,"Task 2 and Task 3, Action and Response","Task 2 and Task 3, Action and Response",procedural,procedural,procedural,procedural,
Model_19_Q_507,Model_19,Q_507,IBM,agree,True,True,"Task 1, Thought","Task 1, Thought",procedural,procedural,procedural,procedural,
Model_12_Q_502,Model_12,Q_502,IBM,agree,True,True,"Task 3, Action; Task 8, Response","Task 3, Action; Task 8, Response","procedural, factual","factual, procedural","procedural, factual","factual, procedural",
Model_17_Q_507,Model_17,Q_507,IBM,disagree,True,True,"Task 2 and Task 3, Action","Task 1 thought, Task 2 and Task 3, Action",procedural,procedural,"factual, procedural","factual, procedural",Task 1 thought is using chiller 1 instead of 9
Model_6_Q_622,Model_6,Q_622,IBM,agree,True,True,"Task 2, Response; Task 3, Response","Task 2, Response; Task 3, Response",procedural,procedural,procedural,procedural,
Model_7_Q_606,Model_7,Q_606,IBM,agree,False,False,,,,,,,
Model_6_Q_509,Model_6,Q_509,IBM,disagree,True,True,"Task 2 and Task 3, Action and Response","Task1 Action, Task 2 and Task 3, Action and Response",procedural,procedural,"logical, procedural","logical, procedural",Task 1 uses wrong end date ( 5/5 instead of 5/3 ). Task 2 missing trajectory
Model_12_Q_508,Model_12,Q_508,IBM,disagree,True,True,"Task 4, Action; Task 5, Action; Task 7, Action","Task 1, Task 2, Task 4, Action; Task 5, Action; Task 7, Action""","procedural, logical","logical, procedural","procedural, logical, factual","factual, logical, procedural","Task 1 response , Task 2 response got wrong date for beginning of the week , task 2 using download agent for calculating end date of week, Task 5 is trying to create work order which is not required"
Model_7_Q_511,Model_7,Q_511,IBM,agree,True,True,"Task 1, Action","Task 1, Action","factual, procedural","factual, procedural","factual, procedural","factual, procedural",Task 1 uses day range instead of week range
Model_16_Q_515,Model_16,Q_515,IBM,agree,True,True,"Task 2, Action","Task 2, Action",procedural,procedural,procedural,procedural,"Task 2, Action: The agent used 'IoT Data Download' to calculate the start and end dates for next week"
Model_6_Q_614,Model_6,Q_614,IBM,disagree,True,True,"Task 6, Final Response","Task 5 action, Task 6, Final Response","factual, procedural","factual, procedural","factual, procedural","factual, procedural",Task 5 invents the results even task 4 reported empty json file
Model_19_Q_610,Model_19,Q_610,IBM,disagree,True,True,"Task 7, Final Response","Task 5, Task 6, Task 7, Final Response",factual,factual,"factual, scope","factual, scope",The agent's final response 'temperature sensor' is not grounded in the provided input. Task 4 does not have trajectory logs or trajectory. Task 5 & 6 doing things which are not required 
Model_17_Q_610,Model_17,Q_610,IBM,agree,True,True,"Task 5, Final Response","Task 5, Final Response","scope, procedural","procedural, scope","scope, procedural","procedural, scope",Task 2 does not have trajectory logs or trajectory
Model_12_Q_615,Model_12,Q_615,IBM,disagree,False,True,,Task 6 and Task 7,,,procedural,procedural,"output is not grounded, there is no use of machine learning "
Model_6_Q_504,Model_6,Q_504,IBM,agree,True,True,"Task 2 and Task 3, Action and Response","Task 2 and Task 3, Action and Response",procedural,procedural,procedural,procedural,task 3 not declaring failure
Model_12_Q_505,Model_12,Q_505,IBM,disagree,True,True,"Task 2 and Task 5, Action: IoT Data Download","Task 2, Task 4 and Task 5, Action: IoT Data Download","procedural, factual","factual, procedural","procedural, factual","factual, procedural","Task 2 uses IoT Downloaded to calculate week start date, Task 4 and Task 5 are doing repetitive thing"
Model_19_Q_621,Model_19,Q_621,IBM,disagree,True,True,"Task 2, Observation; Task 3, Action; Task 4, Action; Task 5, Action and Response","Task 1, Task 2, Observation; Task 3, Action; Task 4, Action; Task 5, Action and Response",procedural,procedural,"scope, procedural","procedural, scope",Task 1 The agent is asked about Chiller tonnage but retrieves data for Chiller 4
Model_17_Q_621,Model_17,Q_621,IBM,agree,True,True,"Task 1, Thought; Task 2, Thought; Task 3, Thought; Task 4, Thought; Task 5, Thought","Task 1, Thought; Task 2, Thought; Task 3, Thought; Task 4, Thought; Task 5, Thought","scope, factual","factual, scope","scope, factual","factual, scope",
Model_7_Q_601,Model_7,Q_601,IBM,disagree,False,True,,"Task 3,4,5,7,8",,,"scope, procedural","procedural, scope","Task 3, Task 4, Task 5, Task 7, Task 8 - Using IoT Downloaded to read and manipulate  JSON file"
Model_7_Q_520,Model_7,Q_520,IBM,disagree,True,True,"Task 2, Action; Task 3, Action; Task 4, Action",All tasks,procedural,procedural,"Factual, logical, Procedural","factual, logical, procedural","Task 1 action uses a wrong date range , Task 2 trying to get pretrained models even when previous step failed, Task 3 uses IoT Data Download agent to read json file, Task 3 action uses wrong file name"
